N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Temperature,Humidity,Rainfall,Season,Irrigation_Type,Recommended_Crop
122,55,74,4.54,58.9,Silt,25.31,35.15,1403.58,Kharif,Sprinkler,Sugarcane
112,37,25,7.03,25.98,Sandy,31.8,54.8,1800.84,Zaid,Canal,Rice
34,52,39,4.95,27.61,Clay,15.78,30.88,1336.62,Kharif,Sprinkler,Barley
126,35,82,7.14,39.97,Loamy,38.23,47.6,480.85,Rabi,Sprinkler,Millet
91,64,51,8.2,33.97,Sandy,10.04,72.42,2535.23,Kharif,Rainfed,Wheat
40,57,70,8.38,20.66,Silt,10.05,42.17,2111.15,Kharif,Rainfed,Wheat
122,38,83,5.44,43.02,Silt,28.77,89.92,2519.84,Rabi,Drip,Rice
141,36,86,7.74,26.71,Silt,20.24,32.9,1555.05,Kharif,Rainfed,Rice
94,27,57,5.91,42.69,Sandy,21.94,38.19,2416.78,Kharif,Drip,Rice
107,69,71,8.1,29.18,Silt,16.64,77.21,2433.61,Zaid,Drip,Wheat
136,83,93,7.65,45.01,Loamy,22.23,88.56,1141.63,Kharif,Rainfed,Sugarcane
119,78,102,4.8,43.39,Silt,34.84,87.24,211.4,Kharif,Sprinkler,Millet
123,83,73,6.13,35.44,Sandy,30.98,77.89,2607.4,Rabi,Sprinkler,Rice
150,30,66,5.85,45.24,Sandy,12.84,88.38,716.97,Zaid,Rainfed,Potato
72,33,77,7.64,33.05,Silt,11.7,80.45,2632.4,Kharif,Rainfed,Wheat
21,12,55,6.14,15.81,Sandy,25.19,33.48,1931.24,Rabi,Rainfed,Rice
107,71,37,7.24,19.11,Clay,31.9,80.74,1977.28,Zaid,Drip,Rice
57,11,110,6.91,22.3,Sandy,29.93,59.03,892.21,Rabi,Canal,Barley
149,75,86,8.4,13.16,Clay,35.92,57.41,1327.3,Rabi,Canal,Sugarcane
40,51,12,8.25,45.57,Sandy,14,30.15,1073.86,Kharif,Canal,Wheat
77,43,46,6.21,28.37,Sandy,28.17,67.22,732.98,Zaid,Canal,Millet
